ID,priority,InitialActivityCount,InitialCommebtCount,recentCommentCount,recentActivityCount,team_involvement,evolution,ResolvedDay
0,P2,2.6,0,0.2,1.8,0.049913742,0.014322531,12
1,P2,1.6,0,0.2,1.8,0.008016364,0.003224664,10
2,P2,3.2,0,0.2,2.8,0.038925372,0.234531426,13
3,P2,2.6,0.2,0.4,1.2,0.049913742,0.035272822,12
4,P2,3.6,1,0.2,3,0.004835737,0.007245649,12
5,P2,1.8,0.6,0.4,0.8,0.150462836,0.346156783,22
6,P2,2.4,0.2,0.2,1.8,0.009579428,0.234636819,19
7,P2,4.8,0.4,0.8,2.6,0.004128511,0.032315782,14
8,P2,4.6,0.8,0,2.2,0.224657461,0.246114567,15
9,P2,3,1,0.4,1.2,0.038925372,0.451465842,21
