ID,Owner_Emb,Submitter_Emb,ESC_Emb,Type_Emb,Severity_Emb,Category_Emb,Summary
0,1667,696,1,0,1,1,[Adyen Issue] DE - MP Unable to verify account. No option to upload document
1,382,142,0,1,2,4,Seller cannot cancel item from ResolutionCenter
2,1938,1213,0,0,2,10,Top of funnel for B2C registration (PPA) has dropped significantly
3,188,1419,0,0,0,0,US UK - Email sent to members in German language wherein members are being asked to update Austrian VAT
4,1434,353,1,0,0,0,MP Account still charged Add Rate Fee's  for Cancelled Transactions / UPI's 
5,1049,1051,1,1,2,4,"MP: Member's payouts on hold due to USER_PAYOUT_BLOCKED_BY_RISK_ERROR - ""ULTIMATESPORTS2012"""
6,1802,1350,0,0,0,0,GCX unable to check Job Statuses - CSReadJobs return No Details
7,1667,1051,1,1,2,3,"[Adyen Issue] MP: Possible Data Transmission Issue - Adyen not reflecting Member's Identity document - ""tmialok"" "
8,1563,353,1,0,0,0,MP - US - Member was charged for 2 labels but already paid
9,1118,1336,1,1,2,16,CLONE - ALERT12866 - Global - Member unable to onboard into managed payment - something went wrong 
